0.5097656250,0.4785156250,0.3222656250,0.5683593750
0.5878906250,0.1503906250,0.1074218750,0.8261718750
0.2207031250,0.4199218750,0.2636718750,0.0371093750
0.7949218750,0.9121093750,0.7871093750,0.5097656250
0.3183593750,0.8886718750,0.3691406250,0.6425781250
0.6855468750,0.9902343750,0.7714843750,0.0722656250
0.9511718750,0.3886718750,0.2558593750,0.4394531250
0.0761718750,0.6191406250,0.2480468750,0.0644531250
0.2949218750,0.2636718750,0.1699218750,0.3183593750
0.1308593750,0.0058593750,0.4941406250,0.4941406250
0.7050781250,0.2324218750,0.9003906250,0.4511718750
0.6308593750,0.8066406250,0.5917968750,0.4824218750
0.6503906250,0.3691406250,0.1347656250,0.1542968750
0.9785156250,0.4667968750,0.2910156250,0.6972656250
0.5214843750,0.7402343750,0.9785156250,0.0527343750
0.6425781250,0.1269531250,0.5292968750,0.5566406250
0.2753906250,0.0136718750,0.0722656250,0.2128906250
0.3769531250,0.5449218750,0.0800781250,0.1074218750
0.2089843750,0.6972656250,0.8808593750,0.5605468750
0.9550781250,0.7714843750,0.1464843750,0.4316406250
0.2441406250,0.1347656250,0.6230468750,0.1777343750
0.0839843750,0.8964843750,0.4472656250,0.0917968750
0.8574218750,0.6699218750,0.3457031250,0.2636718750
0.8144531250,0.7871093750,0.5214843750,0.4863281250
0.9902343750,0.3496093750,0.2011718750,0.8105468750
0.2011718750,0.1542968750,0.1738281250,0.8730468750
0.0371093750,0.2050781250,0.7207031250,0.7636718750
0.1933593750,0.2949218750,0.8574218750,0.3886718750
0.1738281250,0.7207031250,0.0605468750,0.4121093750
0.0097656250,0.6542968750,0.8261718750,0.0957031250
0.5449218750,0.4902343750,0.7050781250,0.1230468750
0.8378906250,0.5644531250,0.2167968750,0.8066406250
0.5175781250,0.1894531250,0.6269531250,0.3808593750
0.9824218750,0.7050781250,0.9316406250,0.3847656250
0.8769531250,0.2011718750,0.7832031250,0.6894531250
